company,origin,platform_name,founding,funding,parent,market_type,signup_type,different_web,alexa_crank,alexa_cgeo1,alexa_cgeo2,alexa_prank,alexa_pgeo1,alexa_pgeo2,sw_ctraffic_m,sw_ctraffic_s,sw_ctraffic_bounce,sw_cgeo1,sw_cgeo2,sw_ptraffic_m,sw_ptraffic_s,sw_ptraffic_bounce,sw_pgeo1,sw_pgeo2,gender_f,gender_m,age_1824,age_2534,age_3544,age_4554,age_5564,age_65,self_size,deep_platform,deep_company,web,app,qualification,training,other_crowdsource,other_freelance,translation,trascription,dataentry,labels_2D,labels_3D,digitization,debug,moderation,recordings,surveys,websearch,producttag,photography
Wirk,FRA,Yappers.club,2014,NA,NA,BPO,OPEN,TRUE,NA,NA,NA,2895023,NA,NA,503,NA,16.88,"FRA,BEL","64,36",41673,7465,21.45,"FRA,AGO,DEU,CIV,GBR,MDG,BEL,TGO,MAR,ROU","93.35,2.58,0.91,0.61,0.6,0.55,0.49,0.15,0.14,0.11",44.64,55.36,26.83,27.94,18.22,12.32,8.62,6.06,50000,NA,NA,TRUE,NA,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Khivrin N.N.,RUS,SolveCaptcha,NA,NA,MegaIndex,OPEN,OPEN,FALSE,NA,NA,NA,604715,NA,NA,NA,NA,NA,NA,NA,5891,2600,41.99,"IND,RUS,PAK,UKR,CAN,BGD,PER,PHL,BRA,BLR","43.28,11.52,8.65,3.63,2.78,2.64,2.63,2.21,2.19,1.94",36.69,63.31,29.43,35.54,15.8,9.31,6.28,3.64,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Prodege,USA,ySense,2005,60000000,NA,OPEN,OPEN,TRUE,47256,"USA,IND,CAN,ISR,IND","71.8,4,2.4,.8,0.6",4441,"BRA,IND,MEX,AGO,VEN,SAU,EGY,ARG,RUS,USA,NGA,COL,PAK,TUR,IDN,DZA,CHE,BGD,TWN,IRN,MYS,URK,PER,ARE,CHL,ECU,ZAF,LKA","15.4,9.6,7.6,7.5,5.1,4.8,4,3.7,3.6,3.4,2.9,2.2,2.2,1.8,1.4,1.4,1.3,1.2,1.1,1,0.9,0.9,0.9,0.7,0.6,0.6,0.5,0.5",107315,74867,69.71,"USA,GBR,CAN,IND,MEX,POL,PHL,DEU,TUR,COL","45.23,4.35,4.07,2.82,2.73,2.1,1.7,1.63,1.61,1.54",3893000,770344,34.64,"BRA,POL,IND,MEX,RUS,CHN,IDN,ESP,USA,PHL","11.19,8.44,7.27,6.93,4.85,3.9,3.72,3.34,3.28,3.14",35.06,64.94,30.35,33.92,16.66,9.5,6.07,3.51,NA,Appen,Appen,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,NA,TRUE,TRUE,TRUE,FALSE
Anti-Captcha,GBR,Kolotibablo,2010,NA,"Complisoft Development LP,Coliseo Management Limited",BPO,OPEN,TRUE,46970,"AZE,USA,EGY,RUS,IRN,IND,TUR,VNM,UKR,BGD","51.4,8.8,6,4.6,3.2,2.9,2.4,1.7,1,0.9",31685,"VEN,IND,BGD,LKA,MDG,CHL,PHL,PAK,EGY,IDN,RUS,ARE,IRN,NPL","22.5,21.6,7.3,5.1,4.7,4.4,4.2,3.6,3.3,2.6,2,1.4,1,0.8",132845,68351,36.6,"RUS,USA,BRA,URK,FRA,CAN,NLD,GBR,IND,DEU","17.58,8.13,5.98,5.55,5.11,3.27,3.26,3.03,2.95,2.43",497229,112505,21.36,"VEN,IND,PHL,BGD,NPL,RUS,UKR,PAK,IDN,USA","47.77,6.15,5.56,4.48,4.14,3.97,3.87,3.63,2.17,1.8",35.57,64.43,31.25,35.1,15.49,8.99,5.74,3.44,NA,NA,NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Amazon Web Services,USA,Amazon Mechanical Turk,2005,NA,Amazon,OPEN,OPEN,TRUE,5000,"USA,IND,BRA,CAN,ALG,EGY,MAR,SAU,ISR,SAU,AUS,PAK,NGA,SGP","48.7,19.8,2.6,2.5,2.1,1.9,1.2,1.1,0.9,0.8,0.8,0.6",NA,NA,NA,272365,66333,27.03,"USA,IND,CAN,GBR,DEU,NLD,KOR,SGP,BGR,BRA","74.75,2.78,2.49,2.47,1.34,1.15,0.99,0.89,0.87,0.86",5256000,454928,15.63,"USA,IND,BRA,DEU,CAN,GBR,ITA,DZA,ESP,MAR","76.28,13.97,2.63,1.17,1.11,0.96,0.58,0.2,0.18,0.16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
Yandex,RUS,Yandex.Toloka,1997,NA,NA,BPO,OPEN,FALSE,1436,"IND,TUR,USA,AZE,BRA,JPN,EGY,VNM,IRN,PAK,MAR,NGA,IDN,DEU,RUS,CHN,SAU,MMR,DZA,BGD,MEX,ARG,LBY,HKG,CAN,ARE,KOR,CHE,ZAF,GRC,LKA,SYR,TUN","13.7,13.4,9.6,4,3.9,3.3,3.1,2.7,2.7,2.4,2.3,2.2,2.1,2.1,2.1,2,1.9,1.7,1.3,1.3,1.1,1.1,1,1,0.9,0.9,0.8,0.8,0.7,0.7,0.7,0.6,0.5",NA,NA,NA,285821,63364,34.88,"RUS,VNM,TUR,DNK,UKR,IND,BLR,KAZ,PHL,MDA","37.37,33.41,8.96,3.79,3.06,2.62,2.54,1.3,1.14,1.07",7156,5609,63.42,"RUS,USA,BLR,IND,UKR,KAZ,SGP,JPN,UZB","89.38,6.3,1.51,0.89,0.77,0.47,0.33,0.19,0.16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Clickworker,DEU,Clickworker,2005,10700000,NA,BPO,OPEN,TRUE,13334,"IND,USA,DEU,BRA,MEX,RUS,ZAF,EGY,NGA,PHL,DZA,TUR,MAR,KEN,BGD,MYS,LKA,TUN,PAK,ARE,IDN,VNM","16.6,16.5,12.5,10.7,6.3,3,2.7,2.5,2.5,1.6,1.3,1,0.9,0.9,0.9,0.8,0.8,0.8,0.7,0.7,0.70.6",NA,NA,NA,158617,59757,68.1,"USA,DEU,BRA,GBR,ESP,IND,CAN,ITA,PHL,FRA","20.27,16.92,9.51,6.79,6.27,5.04,3.82,3.41,3.18,2.94",624442,142884,30.47,"USA,DEU,BRA,GBR,ESP,FRA,IND,PHL,ITA,ZAF","28.35,15.9,7.76,6.28,6.13,4.68,3.3,3.24,3.12,0.44",NA,NA,NA,NA,NA,NA,NA,NA,2000000,UHRS,Microsoft,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Scale.ai,USA,Remotasks,2016,12260000,NA,BPO,OPEN,TRUE,93235,"USA,IND,PHL,MAR","58.9,6.1,4,1",8115,"PHL,VEN,KEN,EGY,NGA,ZAF,IND,BRA,MEX,PER,UGA,DZA,ARE,IDN,MAR,COL,MYS,CMR,SRB,GHA,LKA,TUR","21.1,19.7,6.9,6.3,5.9,4.7,3.8,3.1,2.5,2.1,1.7,1.3,1.2,1.1,1.1,1.1,0.9,0.8,0.7,0.6,0.6,0.5",83773,48926,49.12,"USA,PHL,VEN,IND,CHN,HKG,DEU,CAN,KEN,DEU","22.38,15.85,6.44,4.9,4.27,3.04,2.66,2.39,2.24,1.86",2662000,383656,26.92,"PHL,VEN,KEN,COL,ZAF,IDN,BRA,USA,ARG,NGA","43.43,28.37,6.47,3.66,2.63,1.37,1.11,0.97,0.78,0.74",41.6,58.4,31.64,35.68,15.85,8.56,5.22,3.05,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,TRUE,TRUE,NA,NA,TRUE,NA,NA,TRUE,TRUE,FALSE
Appen,AUS,Appen Connect,1998,NA,NA,BPO,CLOSED,TRUE,3200,"IND,USA,BRA,JPN,VEN,EGY,MEX,NGA,PHL,AUS,TUR,ZAF,SAU,DZA,HKG,CAN,GBR,PAK,IDN,COL,RUS,MAR,BGD,TWN,CMR,ARG,GCR,LKA","18.1,11.1,9.3,8.6,7.2,5.6,3,1.8,1.6,1.5,1.5,1.5,1.4,1.3,1.2,1,1,1,0.9,0.8,0.8,0.8,0.7,0.7,0.6,0.6,0.6,0.5",NA,NA,NA,80557,37799,21.35,"USA,BRA,IND,GBR,PHL,CHN,VEN,DEU,PRT,HKG","22.38,16.7,8.32,4.33,3.89,3.5,2.61,2.58,2.56,2.39",2299000,480926,18.1,"USA,BRA,IND,GBR,ESP,FRA,PHL,DEU,MEX,ITA","21.83,11.83,7.01,6.91,4.3,4.16,3.59,3.25,3.07,2.89",NA,NA,NA,NA,NA,NA,NA,NA,1000000,"Raterhub,TryRating","Google,Apple",TRUE,TRUE,TRUE,NA,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Appen,AUS,Appen Tasks,1998,NA,NA,BPO,OPEN,TRUE,3200,"IND,USA,BRA,JPN,VEN,EGY,MEX,NGA,PHL,AUS,TUR,ZAF,SAU,DZA,HKG,CAN,GBR,PAK,IDN,COL,RUS,MAR,BGD,TWN,CMR,ARG,GCR,LKA","18.1,11.1,9.3,8.6,7.2,5.6,3,1.8,1.6,1.5,1.5,1.5,1.4,1.3,1.2,1,1,1,0.9,0.8,0.8,0.8,0.7,0.7,0.6,0.6,0.6,0.5",NA,NA,NA,80557,37799,21.35,"USA,BRA,IND,GBR,PHL,CHN,VEN,DEU,PRT,HKG","22.38,16.7,8.32,4.33,3.89,3.5,2.61,2.58,2.56,2.39",1038000,237876,29.13,"USA,VEN,IND,BRA,MEX,GBR,ESP,PHL,DEU,FRA","15.2,13.1,8.23,6.33,5.99,4.31,3.71,3.64,3.06,2.85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
Applause,USA,uTest,2006,NA,Vista Equity Partners,BPO,CLOSED,TRUE,104270,"USA,IND","59.2,12.4",18067,"ESP,IND,USA,NGA,EGY,GRC,ZAF,PAN,ISR,VEN,SAU,ALB,RUS,TUN,CAN,ARE,TUR,KAZ","19.1,10.9,10.3,6.5,5.3,4.1,4,3.7,3.5,2.5,2.1,2,1.7,1.7,1.6,1.1,1.1,.8",83870,31616,41.03,"USA,ISR,IND,GRC,IRL,DEU,POL,GBR,FRA,BRA","22.84,13.45,12.55,8.74,8.18,6.1,2.72,2.46,2.18,1.55",904232,185949,28.14,"USA,IND,GBR,CAN,ISR,RUS,BRA,UKR,POL,GRC","28.63,6.94,5.64,5.28,4.32,3.49,3.36,2.93,2.68,2.5",38.2,61.8,22.38,34.11,19.61,11.75,7.47,4.68,500000,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
Innocentive,USA,Challenge Center,2001,NA,NA,BPO,OPEN,TRUE,195165,"IND,USA","35.7,21.9",NA,NA,NA,48709,24904,48.36,"USA,IND,GBR,SVN,CAN,BRA,CHN,IDN,DEU,ITA","19.06,8.79,7.93,6.21,5.92,5.92,3.93,3.75,2.44,2.29",5270,2500,24.74,"USA,SVN,IND,CHN,IDN,GBR,ITA,CAN,RUS,FRA","16.91,12.81,8.29,7.87,7.76,7.19,5.22,5.2,4.6,3.51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Castle Global (Hive),USA,Hive Work,2013,20200000,NA,BPO,OPEN,TRUE,349763,USA,84.8,10503,"VEN,ARG,SLV,IND,BRA,COL,PER,RUS,LKA,EGY","61.5,9.5,5.5,3.5,3.4,2.3,2.2,1.4,0.9,0.6",32112,10635,41.32,"IND,USA,GBR,CHN,CAN,FRA,ISR,SGP,VNM,KOR","56.67,25.34,2.63,2.55,1.88,1.31,0.67,0.67,0.66,0.55",1104000,115434,20.3,"VEN,PHL,IND,ECU,BRA,COL,MEX,PER,ARG,USA","69,5.78,3.75,2.99,2.64,2.36,2.29,2.21,1.18,0.79",40.31,59.69,30.45,34.33,16.21,9.5,6.02,3.48,1500000,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
ImageAnnotation,USA,Microwork.app,2014,NA,General Blockchain,BPO,OPEN,FALSE,893736,NA,NA,1265747,NA,NA,8841,4728,66.61,"IND,USA,HUN,PHL,KHM,DEU,BRA,SRB,CHE,GBR","21.49,7.61,6.78,6.24,5.54,4.11,3.67,3.05,2.33,0.86",7533,1343,69.55,"PHL,USA,IND,PER,ITA,DZA,VEN,DOM,CHL,TUR","11.05,7.77,6.66,6.07,5.6,5.49,4.65,3.97,3.46,3.08",40.66,59.34,28.45,31.9,17.75,10.75,6.87,4.28,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
iSoftStone,CHN,Teemwork.ai,2001,46500000,NA,BPO,CLOSED,TRUE,NA,NA,NA,333273,"CHN,USA,HKG,MYS,IND","91,1,1,1,1",7286,4400,60.45,"USA,BRA,RUS,IND,ITA,MEX,GBR,DEU,IDN,FRA","58.41,6.59,4.66,3.56,2.76,2.69,2.64,1.99,1.44,1.09",80479,39857,31.23,"USA,FRA,CAN,DEU,BRA,PHL,NLD,IND,POL,MEX","27.74,10.91,7.22,6.99,5.32,5.11,3.87,3.74,3.13,3.08",44.3,55.7,24,29.47,18.64,13.3,9,5.6,NA,NA,NA,TRUE,NA,TRUE,NA,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,NA,NA,TRUE,NA,NA
